127.0.0.1 - - [12/Dec/2022:12:52:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:52:56 +0530] "GET /Project_4/ HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:52:56 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:52:59 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:53:02 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 2518
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:53:50 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:53:50 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 2904
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:53:53 +0530] "GET /Project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:53:53 +0530] "GET /Project_4/img/Raysicon.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:53:55 +0530] "POST /Project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3835
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:53:56 +0530] "POST /Project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:53:58 +0530] "GET /Project_4/ctl/MarksheetCtl HTTP/1.1" 200 5668
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:53:58 +0530] "GET /Project_4/img/logo.png HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:54:00 +0530] "POST /Project_4/ctl/MarksheetCtl HTTP/1.1" 200 5775
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:54:07 +0530] "POST /Project_4/ctl/MarksheetCtl HTTP/1.1" 200 5668
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:54:51 +0530] "GET /Project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 3833
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:54:58 +0530] "GET /Project_4/ctl/MarksheetListCtl HTTP/1.1" 200 5383
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:55:27 +0530] "GET /Project_4/ctl/MarksheetListCtl HTTP/1.1" 200 5383
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:55:41 +0530] "GET /Project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:55:48 +0530] "POST /Project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5853
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:56:15 +0530] "GET /Project_4/ctl/RoleListCtl HTTP/1.1" 200 5277
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:56:22 +0530] "GET /Project_4/ctl/RoleCtl HTTP/1.1" 200 4367
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:58:00 +0530] "POST /Project_4/ctl/RoleCtl HTTP/1.1" 200 4471
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:59:08 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:59:23 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:59:23 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 2904
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:59:32 +0530] "GET /Project_4/ctl/RoleCtl HTTP/1.1" 200 4367
0:0:0:0:0:0:0:1 - - [12/Dec/2022:12:59:54 +0530] "POST /Project_4/ctl/RoleCtl HTTP/1.1" 200 4475
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:00:39 +0530] "POST /Project_4/ctl/RoleCtl HTTP/1.1" 200 4367
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:01:23 +0530] "POST /Project_4/ctl/RoleCtl HTTP/1.1" 200 4475
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:01:50 +0530] "POST /Project_4/ctl/RoleCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:01:50 +0530] "GET /Project_4/ctl/RoleListCtl HTTP/1.1" 200 5558
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:01:56 +0530] "GET /Project_4/ctl/RoleCtl HTTP/1.1" 200 4367
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:02:15 +0530] "POST /Project_4/ctl/RoleCtl HTTP/1.1" 200 4475
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:02:17 +0530] "POST /Project_4/ctl/RoleCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:02:17 +0530] "GET /Project_4/ctl/RoleListCtl HTTP/1.1" 200 5848
