127.0.0.1 - - [26/Dec/2022:16:42:36 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Dec/2022:16:42:39 +0530] "GET /Project_4/ HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [26/Dec/2022:16:42:39 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Dec/2022:16:42:41 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [26/Dec/2022:16:42:43 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 2518
0:0:0:0:0:0:0:1 - - [26/Dec/2022:16:43:00 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:16:43:00 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 2904
0:0:0:0:0:0:0:1 - - [26/Dec/2022:16:43:07 +0530] "GET /Project_4/ctl/FacultyCtl HTTP/1.1" 200 8816
0:0:0:0:0:0:0:1 - - [26/Dec/2022:16:43:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Dec/2022:16:43:07 +0530] "GET /Project_4/img/Raysicon.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [26/Dec/2022:16:44:46 +0530] "GET /Project_4/ctl/FacultyCtl HTTP/1.1" 200 8838
0:0:0:0:0:0:0:1 - - [26/Dec/2022:16:44:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Dec/2022:16:44:56 +0530] "GET /Project_4/ctl/FacultyCtl HTTP/1.1" 200 8838
0:0:0:0:0:0:0:1 - - [26/Dec/2022:16:44:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Dec/2022:16:44:56 +0530] "GET /Project_4/ctl/FacultyCtl HTTP/1.1" 200 8838
0:0:0:0:0:0:0:1 - - [26/Dec/2022:16:44:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
